CUSTOMER_ID,CUSTOMER_TYPE,FIRST_NAME,LAST_NAME,GENDER,BUSINESS_NAME,DOB,EMAIL,PHONE,COUNTRY,STATE,CITY,ADDRESS_LINE1,ADDRESS_LINE2,POSTAL_CODE,REGISTRATION_DATE,CREATED_AT
7d58c3be-70be-4f38-9a8e-89ccfb35a1dd,BUSINESS,NOT APPLICABLE,NOT APPLICABLE,,Hess-Hill,,lindseyraymond@example.com,001-346-691-6873,IN,Nebraska,West Benjamin,0041 Rachel Place Apt. 258,Apt. 197,51624,2021-01-21,2026-03-22 04:47:42
0e9826d5-60a2-492b-af00-0f1a706f30f0,INDIVIDUAL,Dustin,Odonnell,FEMALE,NOT APPLICABLE,1988-10-27,michelle38@example.net,4089662903,US,South Dakota,Armstrongberg,129 Sanders Walk Apt. 455,Apt. 383,56560,2020-09-22,2025-08-07 01:05:54
4f336368-fe9f-4881-8926-97a7c87dd101,INDIVIDUAL,Daniel,French,FEMALE,NOT APPLICABLE,1986-03-04,tiffany72@example.org,001-970-612-4900x75785,AE,Delaware,Port Charlotte,480 Murray Glens Suite 697,Apt. 745,43170,2020-10-21,2026-04-07 13:09:02
7abde915-3ecf-4012-ae97-c076c0c8f5b6,INDIVIDUAL,Krista,Carr,FEMALE,NOT APPLICABLE,1977-09-14,ogonzalez@example.net,001-897-339-3324x6672,US,Ohio,Brewermouth,087 Kennedy Village,Suite 807,61623,2025-06-03,2026-01-29 08:32:49
df3528e7-63e2-4d73-9a2f-632a902df61b,INDIVIDUAL,Laurie,Walker,FEMALE,NOT APPLICABLE,1980-12-06,zhangpaula@example.net,001-902-360-9894x8144,IN,Pennsylvania,West Karen,074 Jeremy Greens,Suite 668,26120,2022-02-14,2023-08-14 23:36:18
02846971-fbf3-4d3d-9992-590c5a1a3285,INDIVIDUAL,Evelyn,Butler,FEMALE,NOT APPLICABLE,2002-11-22,ross73@example.org,348-565-4709x97551,IN,Alabama,Danielleshire,807 Rodriguez Shores Apt. 106,Apt. 494,78279,2024-01-06,2025-01-21 08:45:10
be5924e0-19d0-433d-9890-db66aa79b334,INDIVIDUAL,William,Ramsey,FEMALE,NOT APPLICABLE,2004-10-14,amandashaw@example.com,(745)802-5291x382,US,Ohio,East Candacechester,8730 Holly Inlet Apt. 125,Suite 924,86397,2018-01-02,2023-07-26 17:17:16
a1275c04-83e2-4515-b11b-56268e21fc1a,INDIVIDUAL,Erika,Smith,FEMALE,NOT APPLICABLE,1970-02-21,astephens@example.com,970-434-7258x50649,CA,Georgia,West Larry,7675 Joel Inlet,Apt. 804,31862,2025-06-03,2025-07-02 10:53:27
85ac1244-2221-4dfc-9405-1bb27d015f66,INDIVIDUAL,Joan,Powell,MALE,NOT APPLICABLE,1999-08-06,oleblanc@example.net,899.216.8556x70833,US,Arkansas,Taylorview,103 Berger Village Suite 296,Suite 479,69629,2025-03-29,2025-10-21 16:39:02
5ca78ed8-e5b2-45cc-be36-712316374b4c,INDIVIDUAL,James,Hernandez,FEMALE,NOT APPLICABLE,1999-02-27,olopez@example.net,001-251-490-9533x82231,IN,New York,East Mariah,5549 Amanda Ville Suite 904,Suite 524,54951,2024-01-21,2026-03-17 01:08:53
a100f29f-91cd-4b89-ac36-589b45f883fa,INDIVIDUAL,Melissa,Krueger,FEMALE,NOT APPLICABLE,1963-05-11,hesterkim@example.net,282-300-3956x3802,AE,Ohio,New Michael,543 Walker Orchard Apt. 673,Suite 252,36085,2016-08-07,2025-09-17 08:35:31
0ee64515-24c2-461b-a4eb-a7e00b4984f4,BUSINESS,NOT APPLICABLE,NOT APPLICABLE,,Ramirez-Ruiz,,johnjimenez@example.com,419.241.7664x98721,US,South Carolina,West Tanyaport,866 Trevino Cliff,Suite 395,89166,2025-09-16,2025-10-16 21:02:53
e14aed79-afe5-45a3-bf31-d7b616339b0a,INDIVIDUAL,Brian,Ortiz,MALE,NOT APPLICABLE,1996-04-12,evanswesley@example.org,882.890.3869,CA,Arizona,Bryanton,7359 Craig Coves,Apt. 241,97487,2025-08-02,2025-08-24 13:03:57
458bb091-811a-4544-996e-b34e1f49a85c,INDIVIDUAL,Jessica,Blackwell,MALE,NOT APPLICABLE,1969-12-04,sreyes@example.net,(478)455-7470x6491,UK,Idaho,Susanfurt,4741 Thomas Island Apt. 353,Apt. 223,24659,2021-05-03,2022-04-12 13:33:21
0f407c5f-2aa3-41f9-91c8-bc03257734b1,BUSINESS,NOT APPLICABLE,NOT APPLICABLE,,Vega LLC,,jonathan17@example.com,611-369-1344x088,US,Idaho,Dianaburgh,90270 Dylan Union,Apt. 955,64474,2015-12-24,2017-07-01 07:32:44
eb9d7ab8-af0c-42bd-9902-f9baa89e3b69,INDIVIDUAL,Daniel,Kelly,FEMALE,NOT APPLICABLE,1983-06-16,keith67@example.net,(677)925-1023x0266,IN,Illinois,Port Zacharyfort,0777 Herrera Path,Suite 757,45694,2021-11-02,2023-05-20 13:00:24
9eaa9b92-e491-4e43-847e-cc61430f6e50,INDIVIDUAL,Matthew,Munoz,FEMALE,NOT APPLICABLE,1985-07-17,hkelley@example.com,(308)303-1407x480,AE,Montana,East Carolburgh,9458 Ricky Vista Apt. 844,Apt. 699,21101,2016-05-27,2019-12-25 12:55:45
58953f47-0256-4f76-bede-48b56cd42b9f,INDIVIDUAL,John,Tucker,OTHER,NOT APPLICABLE,1967-02-06,leahgardner@example.org,483.280.3949x3730,US,Rhode Island,New Ryan,91192 Everett Avenue Apt. 642,Suite 326,59775,2024-03-29,2025-11-23 20:43:28
f54c0204-f6e2-434d-bbc4-3f6147bac11b,BUSINESS,NOT APPLICABLE,NOT APPLICABLE,,"Solis, Castillo and Dougherty",,randywheeler@example.net,+1-546-565-2288x5446,US,Tennessee,Port Christopherside,17711 Hughes Land Suite 504,Suite 303,54093,2023-01-23,2025-08-10 00:10:27
c40c65d4-6d83-42b9-96d9-1ff2618b80e1,INDIVIDUAL,Kimberly,Hill,FEMALE,NOT APPLICABLE,1975-06-17,patrickwilliams@example.org,+1-235-604-7780x2999,CA,Georgia,North Ellenview,97043 Wheeler Ports,Apt. 817,31560,2015-04-17,2019-06-09 21:50:24
b0acd0b7-a7e1-4030-9304-d887924fb639,INDIVIDUAL,John,Wright,MALE,NOT APPLICABLE,2001-11-25,steven42@example.com,+1-808-994-7551x1861,US,Arkansas,Darrellside,332 Jennifer Springs Apt. 938,Apt. 836,26288,2019-02-14,2022-05-06 00:07:38
38d50be9-3469-4de6-8fc9-e05fe948c9c5,INDIVIDUAL,Justin,Murphy,MALE,NOT APPLICABLE,1985-08-15,jacksonkatherine@example.com,677-709-8382,US,Tennessee,Alexanderborough,8815 Jeffrey Mission,Apt. 911,59897,2025-02-01,2025-09-30 05:06:05
b3e321cc-19ad-4b08-a7fb-7f8eeb3e6952,INDIVIDUAL,Ernest,Cooper,FEMALE,NOT APPLICABLE,1999-03-31,krauseryan@example.net,+1-886-566-6153x3869,AE,New Hampshire,Huffton,899 Sierra Points,Apt. 631,08917,2025-09-19,2026-02-17 16:58:25
8c57820e-25f8-404a-ac70-02ed307fb239,INDIVIDUAL,Erin,Davis,MALE,NOT APPLICABLE,2003-08-13,gerald57@example.com,+1-759-989-7046x782,IN,West Virginia,Phillipport,1702 Bradley Summit Apt. 494,Suite 995,32808,2021-07-02,2024-04-26 12:37:06
281393ba-bd3f-4911-91df-a30327b822f1,BUSINESS,NOT APPLICABLE,NOT APPLICABLE,,Peters LLC,,david25@example.com,(265)412-3925x32114,US,Georgia,Longmouth,652 Davidson Alley Suite 472,Apt. 429,42966,2015-03-19,2022-03-16 11:09:34
98a3f6f6-73ae-40fe-8b7f-791538b1a8c3,BUSINESS,NOT APPLICABLE,NOT APPLICABLE,,Levy-Martinez,,codycruz@example.net,507-397-1293,US,Alaska,Danielton,231 Stephenson Ford Apt. 303,Apt. 482,25560,2018-04-25,2022-10-22 15:39:14
2ba1b636-49ed-4dd8-99bf-a9c804c347cc,INDIVIDUAL,Eric,Cohen,FEMALE,NOT APPLICABLE,1969-03-13,mitchell19@example.com,(824)647-0421,US,Alaska,West Dwayne,1201 Kennedy Mews Suite 204,Apt. 406,03268,2016-08-31,2017-06-24 05:50:03
6a81efdb-0fa3-4e4b-a2b5-033f2a41f8a9,INDIVIDUAL,Marcus,Small,MALE,NOT APPLICABLE,1984-07-11,kinglaura@example.com,957.534.9640x7998,UK,Pennsylvania,South Laurabury,85753 Theresa Stream Apt. 633,Apt. 700,98441,2016-05-18,2018-07-03 03:16:13
676453aa-8706-47db-9d24-84d85440500a,INDIVIDUAL,Sandra,Washington,FEMALE,NOT APPLICABLE,1990-03-14,alex70@example.org,5276067540,UK,New Mexico,Lake Peterberg,681 Price Locks Apt. 948,Suite 801,77779,2023-12-05,2025-11-05 07:06:02
fb9081a2-483c-4eab-847c-45aed3d414b1,INDIVIDUAL,Jeffrey,Bailey,FEMALE,NOT APPLICABLE,1977-08-17,robertrivera@example.com,(256)307-4113x945,US,Rhode Island,North Rebekahchester,413 Rachel Street Apt. 534,Suite 552,32429,2016-04-15,2024-03-24 08:50:25
1a0724c5-6a96-4eac-b78e-4832f576c36b,BUSINESS,NOT APPLICABLE,NOT APPLICABLE,,"Chen, Freeman and Warren",,cynthiaschneider@example.net,296-467-9794,US,Massachusetts,North Adam,19716 Williams Ways,Apt. 052,40542,2018-11-18,2023-09-26 00:21:03
a7ac3470-70c8-44a3-a19a-f98b0f94c63a,INDIVIDUAL,David,King,FEMALE,NOT APPLICABLE,1996-01-09,nicoleperkins@example.com,555-648-7562x98215,IN,Maine,Madisonport,828 Fisher Walks,Suite 853,06671,2019-06-01,2022-07-15 14:10:18
a74b161d-aa0a-4ccb-8199-c56e8f844757,INDIVIDUAL,Kelly,Walker,MALE,NOT APPLICABLE,1975-07-15,john46@example.com,708.628.9809,IN,South Dakota,Port Brent,088 Andrew Lock Suite 989,Apt. 893,52419,2024-04-23,2025-04-26 04:29:51
