AGENT_ID,AGENT_CODE,FIRST_NAME,LAST_NAME,EMAIL,PHONE,LICENSE_NO,COUNTRY,STATE,CITY,STATUS,HIRE_DATE,CREATED_AT
be030816-dd12-458f-9f8e-46e898a59ba5,AGT57695390,John,Davies,joshua44@example.org,(413)624-5563,LIC71372923,UK,Montana,Port Davidport,ACTIVE,2018-07-04,2023-10-23 14:35:52
6a6c0625-2732-4e3a-9f37-606de30350b2,AGT4943572,Alexis,Greene,ielliott@example.org,+1-760-665-4542x9727,LIC779180139,US,Maryland,South Deborahborough,ACTIVE,2025-04-18,2025-07-22 12:37:42
c52caaf4-8740-4da5-a6d2-a4a34f5bedd3,AGT54088912,Kelli,Williams,michaelmiles@example.net,784.301.0437x422,LIC62667924,IN,New Jersey,New Brian,ACTIVE,2021-03-03,2025-09-13 18:12:01
80a738ae-dce3-47d7-9d42-fb66b053a6b6,AGT552484144,Julie,Greene,jean31@example.net,+1-926-552-1167x6556,LIC30414415,IN,North Carolina,South Albertport,ACTIVE,2024-10-09,2025-06-26 21:15:01
069ddb7c-df12-4354-b6cc-ca4029110f60,AGT147171429,Lauren,Whitehead,dianegarrett@example.net,548.380.5294x580,LIC552615733,US,Minnesota,Hollandfurt,ACTIVE,2025-01-05,2026-01-01 23:04:22
6c86eb88-161c-4c23-8edb-d00cb15e74ae,AGT67267477,Richard,Reid,melissacarroll@example.com,447-229-2169x631,LIC18933911,IN,Kentucky,North Jessica,ACTIVE,2015-11-04,2022-05-14 00:52:10
8fd13990-c6d6-45fb-a142-260e646ff9fa,AGT19661133,Rachel,Rose,fosterdeborah@example.net,001-333-901-5734x24712,LIC1467795480,US,Pennsylvania,Lambberg,ACTIVE,2016-08-14,2018-11-09 23:41:13
80eb41b2-13d9-4331-af95-5cba0e22022e,AGT5386515,Vicki,Wilcox,joseph57@example.net,001-205-976-5541x466,LIC389229523,UK,Mississippi,Evelynland,INACTIVE,2025-01-14,2025-06-28 10:40:56
2ed24a5f-16e7-4f90-ae84-c3ac117a24f1,AGT65439921,Brooke,Andrews,rogersandrea@example.com,6666295935,LIC83984968,US,Virginia,Tiffanyland,ACTIVE,2025-09-03,2026-01-13 15:27:02
099caa2b-cfab-4e4a-ac72-9eac2f75d16d,AGT188415001,Frederick,Ward,brendamiller@example.com,(864)878-3602x5452,LIC883979625,US,Mississippi,East Elizabethport,ACTIVE,2013-11-18,2024-12-24 23:00:09
fe1d8a02-0604-4033-9c6d-5bb7145103c2,AGT82841431,Gregory,Turner,davismatthew@example.net,(320)759-1744,LIC33511976,US,Hawaii,Lake Aliceview,ACTIVE,2019-02-06,2020-11-14 03:48:18
ba4d475f-9eb8-49de-b124-e23ffe5a7bea,AGT11793237,Patricia,Brown,vancekim@example.net,8964140362,LIC11938394,US,Nevada,North Michelle,ACTIVE,2025-08-06,2026-03-03 23:18:51
d6bc30fe-629e-4d23-9f8c-edea852c971c,AGT160290585,William,Parker,laura18@example.org,+1-448-637-7011x299,LIC107161162,IN,Maryland,West Rubenbury,ACTIVE,2026-04-03,2026-04-03 22:36:38
a6ae5a73-71de-400c-b405-f911a0a2d5ba,AGT16126239,Misty,Stephens,mmoore@example.net,+1-883-729-7572x0248,LIC9499036953,IN,California,New Carrie,INACTIVE,2023-06-27,2024-06-21 13:25:14
22eaa04e-02ad-43ae-8e8f-ee6a754b7a65,AGT36023914,Christopher,Hunt,matthewssusan@example.com,744-281-6066,LIC3906903275,US,Massachusetts,New Johnmouth,INACTIVE,2022-05-11,2023-05-15 20:03:54
d354746e-9a0b-4d0d-b2d4-0bfd2de5d0dc,AGT722955956,Brandon,Smith,toni80@example.net,908.551.0565,LIC497406239,US,Oregon,Jenniferton,ACTIVE,2010-07-20,2012-05-02 03:31:16
457d7750-9286-4316-9d5e-3b8926fe7b15,AGT159202596,Sheila,Jones,mary32@example.net,(613)635-8825,LIC93382337,US,New Jersey,Port Noahhaven,ACTIVE,2014-09-22,2020-01-20 11:11:54
86b55d10-4c32-4eb3-b634-c72926328106,AGT679883381,Lucas,Paul,cookekimberly@example.com,001-550-548-5948,LIC85120445,US,Oregon,Rodneyville,ACTIVE,2018-10-29,2023-08-10 03:01:16
135fc882-e2f5-4b8f-9b2c-b6cf2c2e354a,AGT3053159,Amy,Kelly,oknapp@example.com,+1-822-336-0651x28569,LIC4584048175,US,Oregon,South Ashley,ACTIVE,2024-07-06,2025-06-11 07:24:25
14e44cdc-77b5-43d7-82bb-94d57d595641,AGT7361459,Carol,Mcdaniel,jefferyparker@example.net,491.400.6344x23267,LIC547468734,IN,New York,Carrollburgh,ACTIVE,2025-12-16,2026-01-24 16:14:34
71841b28-5fb2-4c23-af0a-33c807b2ef71,AGT930824045,Sandra,James,smithkristen@example.com,+1-900-571-9680,LIC7251187776,US,Michigan,Lindaland,ACTIVE,2011-08-04,2012-02-18 20:20:29
ba666daf-655f-4d51-93c6-dc91dcf7328a,AGT188464092,Edwin,Cooper,orozcokristin@example.com,+1-906-796-8116x81476,LIC45443096,US,Wyoming,Heatherberg,ACTIVE,2011-02-21,2024-09-07 05:39:04
97e82fa5-b416-4c90-9316-3fbd3f2f8efa,AGT27756220,Michael,Barry,richard34@example.net,(846)594-7923x664,LIC3575113621,US,North Dakota,Smithton,INACTIVE,2018-06-17,2024-10-13 21:06:04
1f2542f4-0d7c-4413-b8af-1b7c2a1aed74,AGT7314817,Eric,Cardenas,lisawatts@example.net,(747)205-7393x7582,LIC62978404,US,Ohio,Mccarthyview,ACTIVE,2010-09-14,2015-12-25 18:39:40
56f9a83a-9030-43f4-a2d5-7211b8de2b8a,AGT99097707,Joshua,Curtis,sandra10@example.com,(899)293-4408x7424,LIC46551746,IN,Colorado,South Heather,ACTIVE,2016-03-12,2020-02-10 07:20:58
044a5bf7-3fa9-46fd-b959-c7c824ff3f99,AGT853439826,Ashlee,Calderon,longdawn@example.org,(607)644-5851x779,LIC208470764,UK,Wyoming,Matthewport,ACTIVE,2011-12-20,2019-02-24 20:50:34
0488c2d6-b0fb-4615-94d4-03622d6b23ac,AGT220509051,Angela,James,jimenezmatthew@example.com,885.608.8785x33970,LIC49408488,UK,Arizona,East Ashley,ACTIVE,2011-07-27,2023-11-30 12:01:39
a6d78a52-84f2-4a75-b722-45d63fa35d2c,AGT9430142,Erin,Jackson,mclaughlindarryl@example.com,001-560-840-5591x34684,LIC277534208,UK,Kentucky,South James,INACTIVE,2010-06-13,2021-06-02 04:03:39
659026b7-5055-4e96-832d-abe1a29ca627,AGT5546791,Heather,Nicholson,kingchristopher@example.org,(405)520-8320x606,LIC3684184246,IN,West Virginia,Michaelfort,ACTIVE,2022-03-04,2023-11-04 14:52:20
7b9d30b4-9d5a-4cac-b433-67c995d76e6e,AGT42639228,Danielle,Alexander,hendersonfrank@example.org,538.699.2066x51117,LIC89191481,UK,Arizona,West Jeffrey,ACTIVE,2011-08-16,2021-03-31 12:37:31
aee37484-164d-428c-b0d5-8c62bf7a4775,AGT49249595,Emily,Martin,shirleycochran@example.net,352-804-1369,LIC78959332,IN,Nebraska,Smithfurt,ACTIVE,2024-08-14,2025-06-18 20:57:19
e60df9c5-a349-4ceb-a269-9ad19da73d89,AGT3421783,Danielle,Jones,benjaminlawson@example.net,(828)596-8471,LIC51947803,US,New York,Frankburgh,INACTIVE,2019-09-06,2020-12-22 07:09:14
a69ec749-9bed-4e7a-bf27-2035d24d6c0a,AGT5531785,Richard,Wheeler,lucas01@example.net,366-570-5398x0142,LIC863209416,UK,Michigan,Melissabury,ACTIVE,2010-05-05,2010-10-03 12:25:00
