ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_NUMBER,ACCOUNT_TYPE,CURRENCY_CODE,BALANCE,AVAILABLE_BALANCE,STATUS,OPENED_DATE,CLOSED_DATE,BRANCH_CODE,OVERDRAFT_LIMIT,INTEREST_RATE,CREATED_AT,UPDATED_AT
7933731990,5843802724,XWCM73345724996830,CHECKING,USD,5830.19,4960.71,ACTIVE,2020-02-01,2025-01-13,ITGH42309943622885,39.45,0.031,2023-09-17 08:21:03,
2478489815,1135468798,CKMD50367426647375,CHECKING,USD,6783.73,8666.3,CLOSED,2023-10-06,2024-11-12,EYPM94335506812417,4034.26,0.014,2025-05-26 05:42:47,
3194981735,7445176980,MCLT13618684433451,CHECKING,USD,5411.94,105.86,ACTIVE,2021-09-29,,SIFX56729490475131,908.17,0.049,2024-09-24 22:35:32,
2294410893,6727873785,QTAA26673080302188,CHECKING,USD,5959.42,17.0,ACTIVE,2023-03-27,,RMWQ03935606656182,4462.97,0.02,2022-06-29 02:29:25,
2572037964,8653911325,KRBX54537192336727,SAVINGS,USD,6895.48,4074.79,ACTIVE,2021-06-22,,QULZ90545400139591,3661.23,0.026,2022-04-09 16:43:38,
7162431605,6733578657,WZHI69427000771178,CHECKING,USD,3068.85,1109.29,ACTIVE,2022-10-15,,LHND48095291741162,1060.51,0.018,2022-08-23 23:02:17,
488082824,3625374951,OJQX59415855373030,SAVINGS,USD,6144.56,892.65,ACTIVE,2025-09-14,,OUIN45749088282980,3247.98,0.02,2020-11-13 21:56:58,2022-11-13 20:28:58
388081445,8362292012,FNHP97534447691367,SAVINGS,USD,7401.62,3271.9,CLOSED,2020-07-28,,ZNGX55508462422550,3888.75,0.023,2020-03-21 20:19:26,
1435657897,739674363,MSIF07072141844894,CHECKING,USD,2116.11,768.51,ACTIVE,2020-05-17,,VVSK87227314782531,3634.09,0.01,2020-02-14 21:36:19,2023-09-26 11:44:07
2924159000,6280288027,WLNU68346083956062,CHECKING,USD,7468.47,4396.1,DORMANT,2022-08-17,,TOXM12081988866778,589.45,0.04,2022-02-13 16:40:36,
2923621419,6905027852,UPUU47430488977694,CHECKING,USD,7115.35,3594.71,ACTIVE,2023-08-23,,JQTG20849225269346,326.6,0.013,2022-12-20 10:48:31,
2624247290,4728026644,QVOW47666835236071,SAVINGS,USD,761.96,89.32,ACTIVE,2020-11-15,,YIHS46093474629177,1211.33,0.039,2024-10-03 21:25:50,2025-05-22 16:58:52
1360373285,4898212743,GRGS38683748171169,CHECKING,USD,346.42,952.3,ACTIVE,2025-03-19,,DUYX21987776842951,3513.55,0.014,2025-06-25 07:00:44,
3559029918,5074956556,GYSC42592412165038,SAVINGS,USD,4126.11,3413.31,ACTIVE,2025-04-27,,IPQX26290109544922,3333.57,0.026,2024-11-20 09:52:44,2020-11-19 03:26:20
